Replay 1|false|1443
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-6.683731346157629e-10,-0.1983158439397812|1.0103259562299627e-08,1,4.656318708384788e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2638604607317916e-09,-0.1983158439397812|1.9104776427525394e-08,1,8.804873630197108e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1493713758525814e-09,-0.1983158439397812|1.7374141236814467e-08,1,8.007271645738001e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-5.31969912564989e-10,-0.1983158439397812|8.041363130928403e-09,1,3.7060463142779554e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2080991762530857e-10,-0.1983158439397812|1.8261576695266513e-09,1,8.416256136456468e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.8999785905980957e-10,-0.1983158439397812|-4.383735596746874e-09,1,-2.0203472672619682e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,9.055504679444937e-10,-0.1983158439397812|-1.3688625344343563e-08,1,-6.308721367531689e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.5203143188813328e-09,-0.1983158439397812|-2.298158996438815e-08,1,-1.0591599419740305e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.1253130649535592e-09,-0.1983158439397812|-1.7010608033274366e-08,1,-7.839732774073127e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,5.260775703952447e-10,-0.1983158439397812|-7.952361436025512e-09,1,-3.6650302348562036e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-7.264723544953e-11,-0.1983158439397812|1.0981441311841422e-09,1,5.061046692844684e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.697740388503462e-10,-0.1983158439397812|1.4659401692540541e-08,1,6.756124548701337e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.3603836945819126e-09,-0.1983158439397812|2.056405534744954e-08,1,9.477423645876115e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.469822703778163e-10,-0.1983158439397812|1.4315009622123398e-08,1,6.59740777564366e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.2754554624148113e-10,-0.1983158439397812|4.951455689905515e-09,1,2.281998945363739e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,7.030819815234679e-10,-0.1983158439397812|-1.0627804414298225e-08,1,-4.8980627553874e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,9.08943031951992e-10,-0.1983158439397812|-1.3739661852696372e-08,1,-6.332234647743462e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.3204016768852966e-09,-0.1983158439397812|-1.9959388808388212e-08,1,-9.198739547855439e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4304485373983766e-09,-0.1983158439397812|-2.162293455398867e-08,1,-9.965424396796152e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-7.293172316069629e-11,-0.1983158439397812|1.1022462942378297e-09,1,5.079886733483363e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-6.733850144158282e-10,-0.1983158439397812|1.0178728082621546e-08,1,4.691090182973312e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.5730980962302965e-09,-0.1983158439397812|2.3778905955396112e-08,1,1.095904167414119e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1579668335315318e-09,-0.1983158439397812|1.7503879234936903e-08,1,8.067057422067592e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.2877289779520424e-10,-0.1983158439397812|4.9699098170208345e-09,1,2.2905004115614247e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2169647234383518e-10,-0.1983158439397812|1.839765229050272e-09,1,8.479037916231391e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.921906050445955e-10,-0.1983158439397812|-4.416510268612228e-09,1,-2.0354399055122485e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,9.123567457081094e-10,-0.1983158439397812|-1.3790899089372033e-08,1,-6.35583603525447e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.3253592667794578e-09,-0.1983158439397812|-2.0033814607245404e-08,1,-9.233023234855864e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4358199074138156e-09,-0.1983158439397812|-2.170356161457221e-08,1,-1.0002564465594332e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.318279398622508e-10,-0.1983158439397812|-1.2573746488442339e-08,1,-5.794888124910358e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.2835194846138052e-10,-0.1983158439397812|-3.4517320113280903e-09,1,-1.5908071304693294e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-6.758956727637155e-10,-0.1983158439397812|1.0216675505603234e-08,1,4.708579126599943e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2780809743873078e-09,-0.1983158439397812|1.9319212896107274e-08,1,8.90368454520285e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1623052520448596e-09,-0.1983158439397812|1.756914258521647e-08,1,8.097125459016752e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-7.459861062208972e-10,-0.1983158439397812|1.1276106270941e-08,1,5.1968395808899004e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2217662992419775e-10,-0.1983158439397812|1.84663517810435e-09,1,8.510570914666005e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.9325125661117113e-10,-0.1983158439397812|-4.432963329747963e-09,1,-2.0430366731716276e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.3302655643698813e-09,-0.1983158439397812|-2.010848909606011e-08,1,-9.267455425288063e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.5374028716763632e-09,-0.1983158439397812|-2.3239575597244766e-08,1,-1.0710487430287685e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.137963834274558e-09,-0.1983158439397812|-1.7201561064439375e-08,1,-7.927729228640601e-08|Running
2550.77001953125,42.62053298950195,-414.7319030761719|0.9893597960472107,0.00020109082106500864,0.14548945426940918|-0.0002034110511885956,1,0.0000010715023108787136|Running
2550.972412109375,42.620540618896484,-414.3997802734375|0.9269667267799377,0.00008847239223541692,0.3751436173915863|-0.00008481560507789254,1,-0.000026259684091201052|Running
2551.330078125,42.62227249145508,-413.918701171875|0.8463766574859619,0.00003087843651883304,0.5325847864151001|-0.00002671876791282557,1,-0.000015517332940362394|Running
2551.501220703125,42.622684478759766,-413.71417236328125|0.818613588809967,0.0000198228626686614,0.5743446946144104|-0.000016617841538391076,1,-0.000010828464837686624|Running
2551.677978515625,42.62291717529297,-413.51422119140625|0.7980425357818604,0.000009308348126069177,0.6026011109352112|-0.0000075545572144619655,1,-0.0000054422243920271285|Running
2551.903076171875,42.62306594848633,-413.2681884765625|0.7778021097183228,0.000003849781478493242,0.6285092234611511|-0.0000029944751531729707,1,-0.0000024194910110963974|Running
2552.13134765625,42.623138427734375,-413.0252380371094|0.7620532512664795,0.0000023209051960293436,0.6475144028663635|-0.0000017736091422193567,1,-0.0000014969867834224715|Running
2552.361083984375,42.623165130615234,-412.78399658203125|0.7497408986091614,0.0000014338035043692798,0.661731481552124|-0.0000010828426866282825,1,-9.398857514497649e-07|Running
2552.5458984375,42.6231803894043,-412.5914611816406|0.7417262196540833,9.59461885940982e-07,0.6707027554512024|-7.156544938879961e-07,1,-6.390940825440339e-07|Running
2552.959716796875,42.6231803894043,-412.1570129394531|0.7261472344398499,5.724517677663243e-07,0.687539279460907|-4.167557960954582e-07,1,-3.9245136917998025e-07|Running
2553.1416015625,42.6231803894043,-411.96234130859375|0.7200946807861328,5.010540462535573e-07,0.6938758492469788|-3.618551716044749e-07,1,-3.465808049440966e-07|Running
2553.36572265625,42.6231803894043,-411.71575927734375|0.7123860716819763,4.472447301395732e-07,0.7017877697944641|-3.1946331091603497e-07,1,-3.1300558589464345e-07|Running
2553.588134765625,42.6231803894043,-411.46771240234375|0.704932451248169,4.295219753203128e-07,0.7092744708061218|-3.0358643243744154e-07,1,-3.0385143645617063e-07|Running
2553.853759765625,42.6231803894043,-411.1685485839844|0.6966394186019897,3.587932155824092e-07,0.7174214720726013|-2.504980045614502e-07,1,-2.5687330662549357e-07|Running
2554.07275390625,42.6231803894043,-410.9175720214844|0.6901099681854248,3.140141870972002e-07,0.7237045168876648|-2.1706740938043367e-07,1,-2.2690723255891498e-07|Running
2554.203369140625,42.6231689453125,-410.76611328125|0.6863338351249695,2.941422678759409e-07,0.7272866368293762|-2.0218374174874043e-07,1,-2.1363889857184404e-07|Running
2554.376708984375,42.6231689453125,-410.5635986328125|0.6815190315246582,2.659424183093506e-07,0.731800377368927|-1.8147996172501735e-07,1,-1.9439777076968312e-07|Running
2554.5927734375,42.62314987182617,-410.3100280761719|0.6760228276252747,2.1992872234477545e-07,0.7368807196617126|-1.488019734097179e-07,1,-1.6194641716538172e-07|Running
2554.852294921875,42.46258544921875,-410.00518798828125|0.6701409816741943,1.6707113559277786e-07,0.7422338724136353|-1.119579380315372e-07,1,-1.2400880677887471e-07|Running
2555.025146484375,42.28479766845703,-409.80242919921875|0.6671169400215149,1.455135247852013e-07,0.7449529767036438|-9.693824409851004e-08,1,-1.0852279075379556e-07|Running
2555.24560546875,42.01860809326172,-409.55224609375|0.6656141877174377,1.0224185587048851e-07,0.7462959885597229|-6.760359383406467e-08,1,-7.670407597970552e-08|Running
2555.515625,41.76846694946289,-409.25750732421875|0.6672095060348511,1.0174427700349042e-07,0.744870126247406|-6.652642525750707e-08,1,-7.700297288693037e-08|Running
2555.791015625,41.51982116699219,-408.967529296875|0.6712968945503235,1.3784277541617485e-07,0.7411885261535645|-9.129937694751789e-08,1,-1.0328516708568714e-07|Running
2556.03076171875,41.21894073486328,-408.73614501953125|0.6789278388023376,3.3886379924297216e-07,0.7342050075531006|-2.2777675212637405e-07,1,-2.509106025172514e-07|Running
2556.325927734375,41.16786193847656,-408.4663391113281|0.6910173892974854,7.094284342201718e-07,0.7228381633758545|-4.837449978367658e-07,1,-5.189989451537258e-07|Running
2556.579833984375,41.1944580078125,-408.2500915527344|0.7030931711196899,0.0000010074940064441762,0.711097776889801|-6.980105240472767e-07,1,-7.266618808898784e-07|Running
2556.734375,41.20519256591797,-408.12310791015625|0.7105846405029297,0.000001143575332207547,0.7036117315292358|-8.002939466678072e-07,1,-8.170680985131185e-07|Running
2556.994873046875,41.21555709838867,-407.91497802734375|0.7230316400527954,0.000001210752088809386,0.6908149123191833|-8.621594247415487e-07,1,-8.502763080286968e-07|Running
2557.257568359375,41.220489501953125,-407.7096862792969|0.7346923351287842,0.00000112653151518316,0.678400456905365|-8.159376534422336e-07,1,-7.769280045977212e-07|Running
2557.522216796875,41.222808837890625,-407.50738525390625|0.745468258857727,9.887867236102466e-07,0.6665410995483398|-7.276277642631612e-07,1,-6.696711238873831e-07|Running
2557.7900390625,41.22389221191406,-407.3086853027344|0.7557222247123718,9.085084684556932e-07,0.6548923254013062|-6.78387664265756e-07,1,-6.04428976203053e-07|Running
2558.05908203125,41.224395751953125,-407.1116943359375|0.7649340033531189,7.90461001543008e-07,0.6441086530685425|-5.978698709441232e-07,1,-5.171953603166912e-07|Running
2558.3837890625,41.22466278076172,-406.8778381347656|0.7748573422431946,6.355862751661334e-07,0.6321361064910889|-4.875840886597871e-07,1,-4.077890025655506e-07|Running
2558.65576171875,41.224761962890625,-406.68548583984375|0.7823830246925354,5.527567736862693e-07,0.6227975487709045|-4.284915746666229e-07,1,-3.4925028558063786e-07|Running
2558.87451171875,41.22480010986328,-406.5332336425781|0.7879419922828674,4.932758201903198e-07,0.6157494783401489|-3.852705674489698e-07,1,-3.080879196204478e-07|Running
2559.14794921875,41.224822998046875,-406.3427734375|0.7938408255577087,3.765025837765279e-07,0.6081255674362183|-2.965026340007171e-07,1,-2.3206831656352733e-07|Running
2559.423583984375,41.224830627441406,-406.155517578125|0.7996690273284912,3.367824206179648e-07,0.600441038608551|-2.67355460437102e-07,1,-2.04826960725768e-07|Running
2559.75732421875,41.224830627441406,-405.93511962890625|0.8069422841072083,3.847509049137443e-07,0.590630292892456|-3.0811926876594953e-07,1,-2.3045963359891175e-07|Running
2560.044189453125,41.224830627441406,-405.76556396484375|0.8160457611083984,7.799881700520928e-07,0.5779873132705688|-6.309697369033529e-07,1,-4.5863987452321453e-07|Running
2560.39599609375,41.224830627441406,-405.5754089355469|0.8296112418174744,0.000001468990831199335,0.5583414435386658|-0.0000012051132216583937,1,-8.403734454986989e-07|Running
2560.815185546875,41.224830627441406,-405.3714294433594|0.8473696708679199,0.0000020650513761211187,0.5310034155845642|-0.0000017288367644141545,1,-0.0000011301009408271057|Running
2561.3115234375,41.224830627441406,-405.1761779785156|0.8722155690193176,0.0000036083642953599337,0.4891217052936554|-0.000003105566975136753,1,-0.0000018392975107417442|Running
2561.566162109375,41.224830627441406,-405.09747314453125|0.8857654929161072,0.000004395381893118611,0.46413305401802063|-0.000003840359568130225,1,-0.0000021410328372439835|Running
2561.824951171875,41.224830627441406,-405.0332946777344|0.9000950455665588,0.00000553119298274396,0.43569353222846985|-0.0000049104824029200245,1,-0.0000025506276415399043|Running
2562.152587890625,41.224830627441406,-404.9704895019531|0.9182223677635193,0.000006960850896575721,0.39606529474258423|-0.0000063045204115042,1,-0.000002958853656309657|Running
2562.482666015625,41.224830627441406,-404.9253234863281|0.93537837266922,0.00000782778806751594,0.35364848375320435|-0.000007228759841382271,1,-0.000003014752792296349|Running
2562.74853515625,41.224830627441406,-404.9142150878906|0.9495898485183716,0.000009550780305289663,0.3134949803352356|-0.00000895940866030287,1,-0.0000033270609947066987|Running
